pitcher,gameid,inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
"McGrath, Sean",20260301-BaggettStadium-1,10,1,1,0,2.0,2.0,Left,Fastball,StrikeCalled,89.51,1974.11,5.748,5.959,3.140,-2.4033,-5.1047,17.4693,10.2821,2.229,-0.768,-5.7552,-3.2757,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,8,2,0,1,6.0,2.0,Right,Slider,InPlay,83.52,2526.98,4.748,6.028,3.185,-0.6843,-3.1624,1.0466,-6.9242,1.978,-0.395,-8.0103,-4.3771,90.84,GroundBall
"McGrath, Sean",20260301-BaggettStadium-1,10,1,1,1,2.0,3.0,Left,ChangeUp,InPlay,82.91,1648.54,5.814,5.866,3.207,-0.7204,-4.2980,10.8980,14.7056,2.694,0.428,-6.2913,-1.6713,89.29,Popup
"McGrath, Sean",20260301-BaggettStadium-1,9,1,0,0,3.0,1.0,Right,Fastball,FoulBallNotFieldable,89.40,1999.10,5.714,6.037,3.134,-1.6128,-4.4397,16.9734,9.6473,2.979,-0.207,-5.1314,-2.7219,89.94,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,10,2,0,0,3.0,1.0,Right,Fastball,InPlay,82.79,2489.23,4.978,6.060,3.241,0.6926,-3.1117,1.5240,-8.6771,3.353,-0.424,-6.5878,-4.6385,94.16,FlyBall
"McGrath, Sean",20260301-BaggettStadium-1,11,0,0,0,1.0,1.0,Right,Fastball,StrikeCalled,83.59,2505.46,4.980,6.044,3.185,-1.6383,-3.4239,5.1584,-6.8513,1.439,-0.624,-8.2691,-4.6303,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,11,0,0,1,1.0,2.0,Right,Slider,BallCalled,81.31,2725.87,5.205,5.905,3.323,-2.0498,-4.0995,9.3203,-16.1060,1.077,-1.882,-8.3585,-6.9385,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,1,0,1,3.0,2.0,Right,Fastball,InPlay,89.88,2076.45,5.455,6.152,3.188,-2.0068,-4.3829,18.7987,10.9913,2.813,-0.007,-5.3501,-2.4348,105.38,GroundBall
"McGrath, Sean",20260301-BaggettStadium-1,11,0,1,1,1.0,3.0,Right,Fastball,InPlay,82.03,2530.29,5.080,5.993,3.139,-0.8475,-3.3483,4.8290,-7.0127,2.030,-0.605,-7.7146,-4.5851,91.87,GroundBall
"McGrath, Sean",20260301-BaggettStadium-1,11,0,0,0,2.0,1.0,Right,Fastball,StrikeCalled,87.74,2072.58,5.838,5.935,3.389,-1.3265,-4.8267,18.6617,9.6507,3.169,-0.304,-4.8286,-3.1063,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,1,0,0,4.0,1.0,Right,Slider,InPlay,82.08,2542.34,4.850,5.966,3.201,-0.3150,-2.6948,6.8790,-2.7489,2.614,0.419,-6.9752,-3.1780,20.03,Bunt
"McGrath, Sean",20260301-BaggettStadium-1,11,0,0,1,2.0,2.0,Right,Fastball,StrikeCalled,88.86,1973.76,5.744,5.970,3.173,-2.6988,-5.4347,17.0419,14.1489,1.853,-0.723,-6.3026,-2.9188,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,2,0,0,5.0,1.0,Right,Slider,BallCalled,77.14,2659.79,4.892,5.872,3.470,2.1002,-0.8554,0.5644,-21.1004,3.729,0.903,-6.9442,-4.5699,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,11,0,0,2,2.0,3.0,Right,Slider,InPlay,81.40,2732.15,5.307,5.867,3.312,-1.2979,-3.1183,0.9665,-13.8735,1.085,-0.774,-9.0476,-5.5773,78.48,LineDrive
"McGrath, Sean",20260301-BaggettStadium-1,9,2,1,0,5.0,2.0,Right,Fastball,BallCalled,82.02,2550.56,4.863,6.004,3.203,-1.3986,-4.7916,5.9419,-3.2119,1.487,-1.611,-8.3306,-5.3541,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,2,2,0,5.0,3.0,Right,Fastball,StrikeCalled,89.30,2067.46,5.760,5.994,2.991,-2.5414,-5.3653,14.4453,16.8816,1.790,-0.610,-6.6901,-2.3601,null,Undefined
"McGrath, Sean",20260301-BaggettStadium-1,9,2,2,1,5.0,4.0,Right,Fastball,InPlay,81.71,2426.12,4.945,5.981,3.261,-1.7138,-3.1615,6.1170,-1.9061,1.233,0.111,-8.4976,-3.4973,101.42,GroundBall
"McGrath, Sean",20260301-BaggettStadium-1,10,0,0,0,1.0,1.0,Right,Fastball,StrikeCalled,82.99,2468.91,4.986,5.973,3.348,-0.4056,-3.6774,3.8920,-6.9785,2.420,-0.711,-7.2753,-4.9048,null,Undefined
