inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
8,1,0,0,2,1,Right,Fastball,BallCalled,91.5,2088.84,6.036,5.949,-1.834,-0.9741,2.9064,16.9856,-12.6217,3.679,-0.192,-4.1124,0.6386,NA,Undefined
8,1,1,0,2,2,Right,ChangeUp,StrikeSwinging,84.7,1731.78,6.487,6.021,-1.632,-1.6566,3.3663,9.8526,-10.9108,2.153,0.553,-6.9254,1.3885,NA,Undefined
8,2,3,2,5,8,Right,Curveball,StrikeCalled,76.8,1620.5,5.77,5.875,-2.084,2.2875,1.2714,-10.1108,7.8466,3.172,-0.247,-8.3297,2.6775,NA,Undefined
8,1,1,1,2,3,Right,Curveball,BallCalled,77.78,1478.51,5.909,5.687,-2.108,2.6292,0.3338,-12.838,8.0267,3.216,-1.129,-8.1679,1.7766,NA,Undefined
8,1,2,1,2,4,Right,Fastball,BallCalled,91.18,2124.06,5.873,6.07,-1.846,-3.721,4.8676,17.3022,-14.403,1.201,1.486,-6.8946,2.2962,NA,Undefined
8,1,3,1,2,5,Right,Fastball,BallCalled,89.74,2176.95,6.213,5.952,-1.86,-1.2847,3.3776,18.9264,-14.7725,3.433,0.03,-4.389,0.716,NA,Undefined
8,1,0,0,3,1,Right,Fastball,BallCalled,89.27,1924.62,6.11,6.035,-2.14,-1.0841,3.2472,20.2407,-8.0157,3.788,0.198,-3.9781,1.8063,NA,Undefined
8,1,1,0,3,2,Right,Fastball,HitByPitch,88.4,2101.37,6.276,6.021,-2.08,-1.6341,4.5988,19.2095,-3.7978,3.129,1.852,-4.8297,3.9163,NA,Undefined
8,1,0,0,4,1,Right,Curveball,FoulBallNotFieldable,78.85,1489.56,5.926,5.765,-2.126,0.6876,1.7444,-7.7921,6.6378,1.948,0.046,-9.1429,2.9382,NA,Undefined
8,1,0,1,4,2,Right,Fastball,StrikeCalled,89.08,2229.15,6.178,6.087,-1.936,-3.0914,3.8677,20.5133,-9.1868,1.952,0.875,-6.0635,2.2156,NA,Undefined
8,1,0,2,4,3,Right,Fastball,FoulBallNotFieldable,89.52,2027.91,6.071,5.919,-2.069,-1.913,2.9223,20.8957,-8.0544,2.959,-0.034,-4.687,1.4747,65.39,Undefined
8,1,0,2,4,4,Right,Curveball,FoulBallNotFieldable,77.34,1684.22,5.676,5.885,-2.37,2.5362,1.5742,-10.7639,11.5419,3.37,0.06,-8.1853,3.6371000000000002,74.97,Undefined
8,1,0,2,4,5,Right,Curveball,StrikeSwinging,77.44,1507.6,5.853,5.645,-2.233,-1.1604,2.0914,-15.958,6.7756,-0.738,0.276,-12.7205,3.313,NA,Undefined
8,2,0,0,5,1,Right,Fastball,BallCalled,87.93,1995.97,6.015,6.089,-1.921,-1.2713,4.1646,20.321,-9.8271,3.556,1.125,-4.406,2.4042,NA,Undefined
8,2,1,0,5,2,Right,ChangeUp,FoulBallNotFieldable,83.46,1430.58,6.589,5.872,-2.152,-1.4655,3.1138,13.1653,-8.0895,2.368,0.03,-6.3603,1.6448,65.82,Undefined
8,2,1,1,5,3,Right,Slider,BallCalled,80.25,1710.25,5.524,5.724,-2.342,1.8409,2.8463,0.5755,3.8508,3.733,0.642,-6.3823,3.5311,NA,Undefined
8,2,2,1,5,4,Right,Slider,FoulBallNotFieldable,79.15,1664.4,5.804,5.847,-2.293,0.6829,2.2538,1.2687,-0.0294,2.85,-0.198,-7.3373,2.2486,86.69,Undefined
8,0,0,0,1,1,Right,Fastball,BallCalled,90.79,2181.6,6.076,5.941,-1.877,-3.8542,4.4903,21.2252,-12.1393,1.282,1.275,-6.3623,2.3141,NA,Undefined
8,2,2,2,5,5,Right,Curveball,BallCalled,77.35,1880.61,5.688,5.68,-2.191,-1.5743,3.4308,-11.1621,9.1379,-0.734,1.772,-12.3066,5.0676,NA,Undefined
8,0,1,0,1,2,Right,Fastball,BallCalled,89.83,2112.68,6.175,5.908,-2.009,-3.2844,4.5306,17.3236,-9.7832,1.428,1.369,-6.553,2.7734,NA,Undefined
8,1,0,2,3,3,Right,Fastball,FoulBallNotFieldable,87.46,1992.91,6.098,5.852,-2.003,-1.6747,3.926,17.8387,-8.6352,2.711,0.915,-5.323,2.3757,59.22,Undefined
