inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
2,0,0,1,1,2,Left,Sinker,FoulBallNotFieldable,91.54,1948.94,5.788,6.049,1.544,-1.6391,-3.2704,10.8841,18.8021,2.634,0.065,-5.8634,0.0938,75.72,Undefined
1,0,0,0,3,1,Left,ChangeUp,BallCalled,83.42,1443.86,5.892,5.714,1.928,-1.8587,-4.3329,10.1044,17.403,1.469,-0.652,-7.4467,-1.2173,NA,Undefined
2,0,0,2,1,3,Left,FourSeamFastBall,StrikeSwinging,91.88,1969.62,5.853,6.137,1.47,-1.2402,-3.202,16.7377,12.8764,3.562,-0.435,-4.5085,-0.8972,NA,Undefined
1,0,1,0,3,2,Left,ChangeUp,StrikeCalled,83.41,1479.02,5.833,5.893,1.736,-1.2014,-2.9686,4.4629,15.5434,1.785,0.269,-7.8113,-0.1813,NA,Undefined
2,1,0,0,2,1,Left,FourSeamFastBall,StrikeCalled,91.47,1943.55,5.792,6.039,1.686,-3.2176,-3.4622,21.0188,13.2139,1.963,-0.438,-5.7128,-1.1009,NA,Undefined
2,1,0,1,2,2,Left,Sinker,InPlay,92.1,2000.67,5.765,5.999,1.593,-3.1112,-3.2102,13.7835,20.33,1.439,0.296,-6.8545,0.427,82.37,GroundBall
1,0,1,1,3,3,Left,Sweeper,InPlay,80.63,2545.97,5.168,5.864,1.836,-0.7065,-0.5067,-0.4086,-13.8006,1.465,0.209,-8.8288,-2.9556,101.68,GroundBall
2,2,0,0,3,1,Right,Sweeper,StrikeCalled,75.45,2631.73,4.885,5.883,1.928,1.095,0.1986,-7.3014,-20.5908,1.94,0.4,-9.722,-3.4377,NA,Undefined
2,2,0,0,3,2,Right,Sweeper,BallCalled,78.82,2788.91,4.903,6.028,1.708,1.142,1.4889,-4.9536,-19.4799,2.723,1.493,-8.3986,-1.9498,NA,Undefined
1,0,0,0,4,1,Right,Sweeper,StrikeSwinging,78.59,2580.42,5.113,5.747,1.843,-1.0691,-0.1909,-0.5576,-16.566,0.744,0.283,-9.7644,-3.1296,NA,Undefined
2,2,1,0,3,3,Right,ChangeUp,FoulBallNotFieldable,84.73,1546.45,5.697,6.004,1.533,-1.3543,-2.4889,9.3411,21.0356,2.171,0.966,-7.1084,1.2744,80.53,Undefined
7,1,2,0,5,3,Right,FourSeamFastBall,FoulBallNotFieldable,90.94,1881.03,5.818,5.959,1.276,-2.0257,-1.6312,14.5147,11.716,2.471,0.735,-5.6331,0.4689,NA,Undefined
7,0,1,0,1,2,Left,Sinker,FoulBallNotFieldable,92.82,1967.88,5.654,5.904,1.561,-1.4535,-2.6542,7.1765,21.7034,2.371,0.892,-6.3091,1.2244,81.51,Undefined
7,1,2,1,5,4,Right,Sinker,BallCalled,92.48,1969.79,5.863,5.918,1.429,-3.0143,-3.0973,8.6833,22.5014,1.083,0.424,-7.5351,0.9394,NA,Undefined
7,0,1,1,1,3,Left,ChangeUp,InPlay,85.4,1465.35,5.767,5.781,1.679,-1.1212,-2.7782,11.188,18.0132,2.4,0.592,-6.3709,0.446,87.86,GroundBall
7,1,3,1,5,5,Right,FourSeamFastBall,BallCalled,92.55,1989.12,5.74,6.088,1.193,-3.0515,-3.4455,20.977,11.4981,2.208,-1.061,-5.4596,-1.393,NA,Undefined
7,1,0,0,6,1,Left,FourSeamFastBall,FoulBallNotFieldable,92.68,2002.8,5.811,5.907,1.554,-3.0811,-2.2079,18.9461,15.458,1.861,0.788,-5.7955,0.5608,NA,Undefined
7,0,0,0,2,1,Right,Sweeper,HitByPitch,75.97,2616.91,4.92,5.824,1.763,2.4725,2.635,-4.3753,-21.5785,3.538,2.457,-7.6038,-1.1673,NA,Undefined
7,1,0,1,6,2,Left,FourSeamFastBall,FoulBallNotFieldable,92.45,1884.06,5.955,5.921,1.356,-2.2163,-1.8827,19.4028,10.9227,2.755,0.52,-4.7774,0.0789,84.95,Undefined
7,0,0,0,3,1,Right,Sweeper,BallCalled,77.86,2634,5.145,5.71,1.792,-1.3147,-0.6246,-9.8786,-25.5331,-0.424,-0.924,-11.895,-5.1649,NA,Undefined
7,0,1,0,3,2,Right,FourSeamFastBall,StrikeCalled,92.8,2042.61,5.949,5.958,1.356,-2.5891,-3.6576,18.8171,12.7277,2.383,-0.981,-5.2921,-1.3771,NA,Undefined
7,1,0,1,6,3,Left,Sweeper,StrikeSwinging,80.46,2490.87,5.128,5.795,1.62,-0.8944,-1.3855,0.5358,-11.5417,1.288,-0.647,-8.8465,-3.4307,NA,Undefined
7,0,1,1,3,3,Right,Sweeper,BallCalled,78.14,2641.98,5.225,5.869,1.826,1.2032,1.3024,1.717,-28.5069,3.16,0.675,-7.2393,-3.7547,NA,Undefined
7,0,1,1,3,4,Right,FourSeamFastBall,StrikeCalled,92.34,1845.66,5.768,5.921,1.445,-3.1376,-3.2239,20.3048,9.8909,1.905,-0.734,-5.6634,-1.4568,NA,Undefined
7,0,1,2,3,5,Right,FourSeamFastBall,InPlay,92.18,2060.52,5.806,6.042,1.354,-2.9732,-2.4931,20.9691,10.8364,2.233,-0.063,-5.3981,-0.5537,93.44,GroundBall
7,0,0,0,4,1,Right,Sweeper,BallCalled,78.93,2664.14,5.324,5.835,1.571,-2.6729,-1.9904,0.3074,-23.0517,-0.544,-2.218,-11.0397,-6.0899,NA,Undefined
7,0,1,0,4,2,Right,Sweeper,BallCalled,79.29,2595.48,5.118,5.778,1.735,-1.3804,-0.6077,-0.1648,-27.7825,0.566,-1.153,-9.8775,-5.5333,NA,Undefined
7,0,2,0,4,3,Right,Sweeper,FoulBallNotFieldable,77.79,2596.62,5.337,5.764,1.915,-0.031,-0.232,3.9646,-23.0453,2.068,-0.223,-8.0973,-4.33,54.82,Undefined
7,0,2,1,4,4,Right,Sinker,InPlay,91.77,1929,5.783,6.065,1.364,-1.4903,-1.7002,12.5352,15.7154,2.908,1.091,-5.49,1.1152,62.59,GroundBall
7,1,0,0,5,1,Right,Sinker,BallCalled,92.72,1914.55,5.741,5.939,1.454,-2.7355,-2.1211,11.6345,17.5612,1.626,0.941,-6.6715,1.0231,NA,Undefined
7,1,1,0,5,2,Right,Sweeper,BallCalled,77.29,2541.12,5.131,5.862,1.831,0.9026,1.7371,-4.0333,-19.318,2.34,1.858,-8.6105,-1.687,NA,Undefined
7,0,0,0,1,1,Left,FourSeamFastBall,BallCalled,92.24,1933.52,5.902,5.808,1.783,-3.6283,-3.2919,16.5018,16.0995,1.036,0.065,-6.8019,-0.4061,NA,Undefined
2,1,0,0,2,1,Left,FourSeamFastBall,BallCalled,91.5,1859.41,5.652,5.952,1.637,-2.2821,-3.2268,12.1673,12.2458,1.984,-0.356,-6.4024,-1.0417,NA,Undefined
1,1,1,1,7,3,Right,Sweeper,BallCalled,82.24,2710.38,4.925,5.939,1.864,-0.9812,-1.751,-1.3688,-16.7737,1.327,-1.189,-8.9182,-4.7102,NA,Undefined
1,0,0,0,1,1,Right,FourSeamFastBall,InPlay,91.09,1853.31,5.34,5.945,1.745,-2.6719,-2.5283,14.1326,7.0038,1.749,-0.045,-6.4178,-1.2851,108.2,LineDrive
1,1,2,1,7,4,Right,Sweeper,InPlay,81.09,2616.21,4.927,5.852,2.011,-1.028,-1.5722,2.626,-12.0222,1.416,-0.478,-8.5273,-3.6934,54.98,GroundBall
2,1,1,0,2,2,Left,Sinker,InPlay,91.53,2015.06,5.393,5.892,1.83,-3.0611,-2.7238,10.9888,17.0748,1.05,0.699,-7.4405,0.3126,55.73,GroundBall
1,0,0,0,2,1,Left,ChangeUp,InPlay,84.56,1532.49,5.361,5.905,1.748,-0.974,-2.4152,7.3819,8.246,2.279,0.169,-6.9398,-0.9499,110.58,GroundBall
2,2,0,0,3,1,Right,FourSeamFastBall,FoulBallNotFieldable,91.23,1886.99,5.572,6.076,1.493,-1.3748,-2.6828,13.2649,13.5564,3.009,0.114,-5.3983,-0.2663,83.09,Undefined
2,2,0,1,3,2,Right,Cutter,InPlay,84.46,2136.37,5.104,6.048,1.572,0.213,-1.4305,1.1467,-3.541,2.949,-0.071,-7.0021,-2.0571,93.22,GroundBall
1,0,0,0,3,1,Right,Slider,InPlay,81.68,2626.83,4.943,5.939,1.743,-1.1474,-1.1908,2.5732,-11.8928,1.436,-0.374,-8.558,-3.291,61.72,GroundBall
1,2,0,0,4,1,Left,Sinker,BallCalled,91.09,1929.17,5.337,5.946,1.771,-1.9764,-0.5992,6.8276,15.7169,1.768,2.519,-7.098,2.1965,NA,Undefined
1,2,1,0,4,2,Left,Cutter,InPlay,86.02,2352.28,5.098,6.01,1.639,-2.3439,-2.1486,5.2017,-3.5146,1,-0.679,-8.4129,-2.7705,75.27,FlyBall
1,0,0,0,5,1,Right,Sinker,BallCalled,92.89,1971.6,5.371,6.023,1.637,-3.3866,-2.9834,8.773,15.1041,0.815,0.096,-7.8364,-0.2989,NA,Undefined
1,0,1,0,5,2,Right,Sinker,FoulBallNotFieldable,92.65,1977.28,5.469,6.006,1.718,-1.0459,-2.516,10.5222,17.8647,3.121,0.85,-5.3012,0.6639,NA,Undefined
2,0,0,0,1,1,Left,FourSeamFastBall,StrikeCalled,92.56,1901.56,5.595,6.075,1.551,-0.6122,-3.3884,15.5693,11.6749,4.004,-0.644,-4.0274,-1.3097,NA,Undefined
2,0,0,0,1,2,Left,Sweeper,FoulBallNotFieldable,82.3,2655.2,4.848,5.957,1.763,0.2751,0.0773,1.325,-16.1468,2.729,0.491,-7.3071,-2.7684,68.6,Undefined
